SalesOrderID	CustomerID	SalesPersonID	TerritoryID	CurrencyRateID	SubTotal	TaxAmt	Freight	TotalDue	ShipToAddressLine1	ShipToAddressLine2	ShipToCity	ShipToStateProvinceCode	ShipToStateProvince	ShipToPostalCode	IsOnlyStateProvinceFlag	ShipToCountryRegion
43659	29825	279	5		20565.6206	1971.5149	616.0984	23153.2339	42525 Austell Road		Austell	GA	Georgia	30106	False	United States
43660	29672	279	5		1294.2529	124.2483	38.8276	1457.3288	6055 Shawnee Industrial Way		Suwanee	GA	Georgia	30024	False	United States
43661	29734	282	6	4	32726.4786	3153.7696	985.553	36865.8012	2573 Dufferin Street		Toronto	ON	Ontario	M4B 1V5	False	Canada
43659	29825	279	5		20565.6206	1971.5149	616.0984	23153.2339	42525 Austell Road		Austell	GA	Georgia	30106	False	United States
43660	29672	279	5		1294.2529	124.2483	38.8276	1457.3288	6055 Shawnee Industrial Way		Suwanee	GA	Georgia	30024	False	United States
43661	29734	282	6	4	32726.4786	3153.7696	985.553	36865.8012	2573 Dufferin Street		Toronto	ON	Ontario	M4B 1V5	False	Canada
																
																
																
43662	29994	282	6	4	28832.5289	2775.1646	867.2389	32474.9324	2500 University Avenue		Toronto	ON	Ontario	M4B 1V5	False	Canada
43663	29565	276	4		419.4589	40.2681	12.5838	472.3108	3065 Santa Margarita Parkway		Trabuco Canyon	CA	California	92679	False	United States
43664	29898	280	1		24432.6088	2344.9921	732.81	27510.4109	765 Delridge Way Sw		Seattle	WA	Washington	98104	False	United States
43665	29580	283	1		14352.7713	1375.9427	429.9821	16158.6961	4251 First Avenue		Seattle	WA	Washington	98104	False	United States
43666	30052	276	4		5056.4896	486.3747	151.9921	5694.8564	9920 Bridgepointe Parkway		San Mateo	CA	California	94404	False	United States
43667	29974	277	3		6107.082	586.1203	183.1626	6876.3649	St. Louis Marketplace		Saint Louis	MO	Missouri	63103	False	United States
43668	29614	282	6	4	35944.1562	3461.7654	1081.8017	40487.7233	254480 River Rd		Richmond	BC	British Columbia	V6B 3P7	False	Canada
43669	29747	283	1		714.7043	70.5175	22.0367	807.2585	3250 South Meridian		Puyallup	WA	Washington	98371	False	United States
43670	29566	275	3		6122.082	587.5603	183.6126	6893.2549	Redford Plaza		Redford	MI	Michigan	48239	False	United States
43671	29890	283	1		8128.7876	780.8136	244.0042	9153.6054	15 East Main		Port Orchard	WA	Washington	98366	False	United States
43672	30067	282	6	4	6124.182	587.6023	183.6257	6895.41	"99, Rue Saint-pierre"		Pnot-Rouge	QC	Quebec	J1E 2T7	False	Canada
43673	29844	275	2		3746.2015	357.9614	111.8629	4216.0258	Stateline Plaza		Plaistow	NH	New Hampshire	03865	False	United States
43674	29596	282	6	4	2624.382	251.9407	78.7315	2955.0542	600 Slater Street		Ottawa	ON	Ontario	K4B 1S2	False	Canada
43675	29827	277	3		5716.3102	546.8759	170.8987	6434.0848	Kansas City Factory Outlet		Odessa	MO	Missouri	64076	False	United States
43676	29811	275	5		14203.458	1363.266	426.0206	15992.7446	9920 Picketts Line Road		Newport News	VA	Virginia	23607	False	United States
43677	29824	278	6	4	7793.1108	747.1011	233.4691	8773.681	990th Floor 700 De La GauchetiSre Ou		Montreal	QC	Quebec	H1Y 2H3	False	Canada
43678	29889	281	4		9799.9243	942.074	294.3981	11036.3964	440 West Huntington Dr.		Monrovia	CA	California	91016	False	United States
43679	29761	278	6	4	1316.0575	125.8032	39.3135	1481.1742	69251 Creditview Road		Mississauga	ON	Ontario	L5B 3V4	False	Canada
43680	29489	281	4		11397.4992	1093.6394	341.7623	12832.9009	6900 Sisk Road		Modesto	CA	California	95354	False	United States
43681	29661	279	5		13787.5434	1323.0668	413.4584	15524.0686	Edgewater Mall		Biloxi	MS	Mississippi	39530	False	United States
43682	29759	275	2		3875.7229	371.8002	116.1876	4363.7107	Tree Plaza		Braintree	MA	Massachusetts	02184	False	United States
43683	29497	283	1		42813.4333	4107.1489	1283.484	48204.0662	Eastridge Mall		Casper	WY	Wyoming	82601	False	United States
43684	29912	279	5		5596.4705	537.2612	167.8941	6301.6258	Bay Area Outlet Mall		Clearwater	FL	Florida	33755	False	United States
43685	30084	279	5		2736.5678	263.201	82.2503	3082.0191	Silver Sands Factory Outlet		Destin	FL	Florida	32541	False	United States
43686	29606	283	1		3463.2998	332.4768	103.899	3899.6756	2502 Evergreen Ste E		Everett	WA	Washington	98201	False	United States
43687	29610	275	2		1258.3767	120.8042	37.7513	1416.9322	25264 E. 260th		Euclid	OH	Ohio	44119	False	United States
